status,collision_index,collision_year,collision_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_severity
Unvalidated,2024061466412,2024.0,061466412,1.0,1.0,3,2.0,-1,-1,4.0,1,0,0,2.0,0,-1.0,-1,-1,7,2
Unvalidated,2024010509007,2024.0,,1.0,1.0,1,2.0,41,7,0.0,0,0,0,0.0,9,1.0,7,E01001411,-1,3
Unvalidated,2024031447234,2024.0,031447234,2.0,1.0,2,2.0,14,3,0.0,0,1,0,0.0,9,2.0,4,E01019094,3,3
,2024201484457,2024.0,201484457,1.0,1.0,3,1.0,9,2,5.0,1,0,0,0.0,0,1.0,1,E01010235,3,3
Unvalidated,2024010494553,2024.0,010494553,1.0,2.0,2,2.0,36,7,0.0,0,1,0,0.0,9,1.0,2,E01003243,-1,3
Unvalidated,2024361413703,2024.0,361413703,2.0,1.0,1,1.0,21,5,0.0,0,0,0,0.0,2,1.0,5,E01026870,3,3
Unvalidated,2024031427676,2024.0,031427676,1.0,1.0,1,,44,7,0.0,0,0,0,,9,1.0,6,E01025121,3,3
Unvalidated,2024041456458,,041456458,1.0,4.0,2,1.0,42,7,0.0,0,0,0,0.0,90,1.0,4,E01025057,3,3
Unvalidated,2024547641824,2024.0,547641824,1.0,1.0,1,1.0,18,4,0.0,0,0,0,0.0,3,1.0,5,E01032063,-1,3
Unvalidated,2024461480323,2024.0,461480323,1.0,1.0,1,1.0,63,9,0.0,0,0,0,0.0,5,1.0,7,E01032822,3,3
Unvalidated,2024451462593,2024.0,,1.0,1.0,1,2.0,48,8,0.0,0,0,0,0.0,9,1.0,6,E01030678,3,3
Unvalidated,2024161394361,2024.0,161394361,2.0,1.0,1,2.0,26,6,0.0,0,0,0,0.0,9,1.0,10,E01013070,3,3
Unvalidated,2024131430354,2024.0,131430354,1.0,1.0,1,2.0,36,7,0.0,0,0,0,0.0,9,1.0,10,E01011132,3,3
Unvalidated,2024041408688,2024.0,041408688,2.0,1.0,1,2.0,38,7,0.0,0,0,0,0.0,9,1.0,5,E01012635,3,3
Unvalidated,2024631447908,2024.0,631447908,1.0,1.0,1,1.0,20,4,0.0,0,0,0,0.0,90,1.0,1,W01000631,7,2
Unvalidated,2024361460412,2024.0,361460412,1.1229164246457828,1.0,2,,-1,-1,0.0,0,1,0,0.0,9,-1.0,-1,-1,3,3
Unvalidated,2024430052993,2024.0,430052993,1.966593075173624,1.0,1,2.0,10,2,0.0,0,0,0,0.0,1,1.0,3,E01016381,-1,3
Unvalidated,2024122400531,2024.0,122400531,1.0,1.0,1,2.0,20,4,0.0,0,0,0,0.0,9,1.0,9,E01013380,-1,3
Unvalidated,2024131453307,2024.0,131453307,1.0,1.0,3,1.0,12,3,5.0,1,0,0,1.0,0,1.0,1,E01011358,3,3
Unvalidated,2024131417757,2024.0,131417757,1.0,1.0,1,1.0,17,4,0.0,0,0,0,0.0,3,3.0,2,E01011815,1,1
Unvalidated,2024141422525,2024.0,,1.0,1.0,1,2.0,22,5,0.0,0,0,0,0.0,9,1.0,3,E01007346,3,3
Unvalidated,2024440103576,2024.0,440103576,1.0,1.0,1,2.0,44,7,0.0,0,0,0,0.0,9,1.0,9,E01022633,-1,3
Unvalidated,2024401409828,2024.0,401409828,1.0,1.0,3,2.0,33,6,5.0,1,0,0,0.0,0,1.0,2,E01015749,3,3
Unvalidated,2024131421436,2024.0,131421436,1.0,1.0,1,1.0,60,9,-0.2862907477423744,0,0,0,0.0,9,1.0,4,E01011810,3,3
Unvalidated,2024631437218,2024.0,631437218,1.0,6.0,1,1.0,51,8,0.0,0,0,0,0.0,19,1.0,4,E01012816,3,3
Unvalidated,2024070276038,2024.0,070276038,2.0,2.0,1,2.0,25,5,0.0,0,0,0,0.0,9,1.0,9,E01018420,-1,3
Unvalidated,2024501417168,2024.0,501417168,1.0,1.0,3,1.0,31,6,5.0,1,0,0,0.0,0,1.0,6,E01020025,3,3
Unvalidated,2024041435748,2024.0,041435748,0.9747895692632549,1.0,1,1.0,64,9,0.0,0,0,0,0.0,97,1.0,4,E01012693,6,2
Unvalidated,2024010492077,2024.0,010492077,1.0,1.0,1,1.0,23,5,0.0,0,0,0,0.0,3,1.0,6,E01000196,-1,3
Unvalidated,2024451449289,2024.0,451449289,2.0,0.9830699445368397,1,1.0,27,6,0.0,0,0,0,0.0,9,1.0,-1,-1,3,3
Unvalidated,2024311427769,2024.0,311427769,2.0,1.0,1,2.0,-1,-1,0.0,0,0,0,0.0,9,3.0,3,E01028259,3,3
Unvalidated,202417S302424,2024.0,,2.0,1.0,1,1.0,41,7,0.0,0,0,0,0.0,9,1.0,2,E01012291,-1,3
Unvalidated,2024471400783,2024.0,471400783,2.0,1.1179710615538907,1,1.0,25,5,0.0,0,0,0,0.0,97,1.0,7,E01031398,3,3
Unvalidated,2024141455623,2024.0,141455623,1.0,1.0,2,1.0,7,2,0.0,0,0,4,0.0,11,1.0,4,E01007344,3,3
Unvalidated,2024161434700,2024.0,161434700,1.0,1.0,3,2.0,12,3,5.0,1,0,0,0.0,0,-1.0,-1,-1,3,3
Unvalidated,2024411447231,,411447231,1.0,1.0,1,1.0,42,7,0.0,0,0,0,0.0,9,1.0,2,E01008884,3,3
Unvalidated,2024010507701,2024.0,010507701,1.0,1.0,1,1.0,45,7,0.0,0,0,0,0.0,3,-1.0,-1,-1,-1,3
Unvalidated,2024501425373,2024.0,501425373,1.0,0.8940886436239287,1,1.0,17,4,0.0,0,0,0,0.0,9,3.0,6,E01020188,3,3
Unvalidated,2024451439130,2024.0,451439130,2.0,1.0,1,2.0,30,6,0.0,0,0,0,0.0,9,1.0,10,E01030775,3,3
Unvalidated,2024421402643,2024.0,421402643,2.0,1.0,2,2.0,25,5,0.0,0,-1,0,0.0,9,1.0,3,E01015987,6,2
Unvalidated,2024131414225,,131414225,1.0,1.0,1,1.0,77,11,0.0,0,0,0,0.0,9,1.0,2,E01010869,3,3
Unvalidated,2024010492023,2024.0,010492023,1.0,1.0,3,,57,9,9.0,5,0,0,0.0,0,1.0,4,E01004414,-1,3
Unvalidated,202417S206424,2024.0,17S206424,1.0,1.0,1,2.0,40,7,0.0,0,-1,0,0.0,9,-1.0,-1,-1,-1,3
